Date,Open,High,Low,Close,Adj Close,Volume
8/10/2022,92.269997,92.5,90.360001,90.830002,89.527145,586100
8/11/2022,91.290001,92.889999,90.309998,90.5,89.201874,566100
8/12/2022,90.510002,92.889999,90.129997,92.889999,91.984474,351500
8/15/2022,92.510002,96.550003,91.709999,95.980003,95.044357,537400
8/16/2022,95.919998,95.919998,92.849998,93.5,92.588531,441400
8/17/2022,93.720001,94.459999,92.919998,93.139999,92.23204,335200
8/18/2022,92.650002,93.75,91.379997,92.120003,91.221985,412500
8/19/2022,91,91.879997,87.989998,88.309998,87.44912,632400
8/22/2022,87.489998,87.489998,85.260002,85.900002,85.062622,492600
8/23/2022,85.660004,86.449997,84.800003,84.870003,84.042664,392000
8/24/2022,84.510002,87,84.139999,85.720001,84.884377,378000
8/25/2022,85.360001,86.360001,84.849998,86.050003,85.211159,310200
8/26/2022,86.529999,86.529999,81.93,82.029999,81.230347,436200
8/29/2022,81.5,82.860001,80.980003,82.199997,81.398689,459400
8/30/2022,82.339996,84.410004,81.43,84.300003,83.478218,650800
8/31/2022,84.309998,84.769997,80.669998,80.830002,80.042046,499300
9/1/2022,79.870003,80.540001,77.510002,80.440002,79.655853,594000
9/2/2022,81.32,81.32,78.470001,79.269997,78.497246,508200
9/6/2022,79.269997,80.410004,78,79.849998,79.071594,501700
9/7/2022,79.860001,82.75,79.860001,82.720001,81.91362,419900
9/8/2022,82.18,84.209999,81.720001,84.029999,83.210854,407500
9/9/2022,84.989998,85.209999,84.339996,84.5,83.67627,426700
9/10/2022,82.14,79.86,79.86,82.72,81.91,407400
